Question,Given the red and near-infrared (NIR) reflectance values of a pixel as floating-point numbers, write Python code to compute the NDVI: (NIR - Red) / (NIR + Red). Return 0 if the denominator is zero, and classify the pixel as ‘vegetation’ if NDVI > 0.3, ‘urban’ if NDVI < 0.2, and ‘transition’ otherwise.

"Participant Id","Display Name","Submitted At","Opinion Id","Opinion","Rank","Of","Rating","Votes","Created At"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f9605ac9f4b37f1ae85328","option_3",1,4,100,5,"22 Oct 2025, 10:53 pm"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f95e5ac9f4b37f1ae7c194","option_1",2,4,50,5,"22 Oct 2025, 10:44 pm"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f96042c9f4b37f1ae851b9","option_2",3,4,33.333333333333336,5,"22 Oct 2025, 10:52 pm"
"68fe73c59f9cd61e548cf286","Participant 6","26 Oct 2025, 07:17 pm","68f96068c9f4b37f1ae85dad","option_4",4,4,25,5,"22 Oct 2025, 10:53 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f9605ac9f4b37f1ae85328","option_3",1,4,100,5,"22 Oct 2025, 10:53 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f95e5ac9f4b37f1ae7c194","option_1",2,4,50,5,"22 Oct 2025, 10:44 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f96068c9f4b37f1ae85dad","option_4",3,4,33.333333333333336,5,"22 Oct 2025, 10:53 pm"
"68fd4a189f9cd61e547aa345","Participant 5","25 Oct 2025, 10:07 pm","68f96042c9f4b37f1ae851b9","option_2",4,4,25,5,"22 Oct 2025, 10:52 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f95e5ac9f4b37f1ae7c194","option_1",1,4,100,5,"22 Oct 2025, 10:44 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f9605ac9f4b37f1ae85328","option_3",2,4,50,5,"22 Oct 2025, 10:53 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f96042c9f4b37f1ae851b9","option_2",3,4,33.333333333333336,5,"22 Oct 2025, 10:52 pm"
"68fcd3e79f9cd61e546bb566","Participant 4","25 Oct 2025, 01:43 pm","68f96068c9f4b37f1ae85dad","option_4",4,4,25,5,"22 Oct 2025, 10:53 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f9605ac9f4b37f1ae85328","option_3",1,4,100,5,"22 Oct 2025, 10:53 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f95e5ac9f4b37f1ae7c194","option_1",2,4,50,5,"22 Oct 2025, 10:44 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f96042c9f4b37f1ae851b9","option_2",3,4,33.333333333333336,5,"22 Oct 2025, 10:52 pm"
"68fbf8659f9cd61e54566273","Participant 3","24 Oct 2025, 10:06 pm","68f96068c9f4b37f1ae85dad","option_4",4,4,25,5,"22 Oct 2025, 10:53 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f9605ac9f4b37f1ae85328","option_3",1,4,100,5,"22 Oct 2025, 10:53 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f95e5ac9f4b37f1ae7c194","option_1",2,4,0,5,"22 Oct 2025, 10:44 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f96042c9f4b37f1ae851b9","option_2",3,4,0,5,"22 Oct 2025, 10:52 pm"
"68fa19a8c86391f689a2abc9","Participant 2","23 Oct 2025, 12:03 pm","68f96068c9f4b37f1ae85dad","option_4",4,4,0,5,"22 Oct 2025, 10:53 pm"
